team,home_status,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,goal_diff,won
Detroit Red Wings,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Washington Capitals,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Pittsburgh Penguins,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Columbus Blue Jackets,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Vegas Golden Knights,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Minnesota Wild,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Florida Panthers,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Dallas Stars,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
New York Islanders,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Calgary Flames,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Vancouver Canucks,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Arizona Coyotes,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Boston Bruins,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Buffalo Sabres,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
San Jose Sharks,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
St. Louis Blues,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Ottawa Senators,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Chicago Blackhawks,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Vancouver Canucks,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Colorado Avalanche,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
New York Islanders,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Edmonton Oilers,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Minnesota Wild,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Philadelphia Flyers,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Detroit Red Wings,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Tampa Bay Lightning,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Anaheim Ducks,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Los Angeles Kings,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Toronto Maple Leafs,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Boston Bruins,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
New Jersey Devils,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Florida Panthers,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Chicago Blackhawks,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Washington Capitals,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Pittsburgh Penguins,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Carolina Hurricanes,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Nashville Predators,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Columbus Blue Jackets,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
San Jose Sharks,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Dallas Stars,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
New York Rangers,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Arizona Coyotes,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Winnipeg Jets,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
