,Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,Stoppage,Period Start,Official Challenge,won
276,0,0,2,1,0,0,0,0,1,0,,,yes
277,0,3,0,3,0,0,0,2,0,0,,,no
278,0,2,0,0,1,0,2,1,0,0,,,no
279,0,0,1,1,0,2,0,1,0,0,,,yes
280,0,1,0,1,0,0,1,1,0,0,0.0,,no
281,1,1,3,2,0,1,1,1,0,0,,,yes
282,0,0,0,2,0,0,0,1,0,0,,,no
283,0,3,2,1,0,0,0,0,0,0,,,yes
284,0,0,0,2,0,0,1,1,0,0,,,yes
285,0,0,1,2,0,1,1,0,0,0,,,no
286,0,0,1,1,1,0,0,0,0,0,0.0,,no
287,0,0,0,0,0,0,1,0,0,0,,,yes
288,0,3,0,0,0,0,1,2,0,0,,,yes
289,0,0,0,1,0,0,0,0,0,0,,,no
290,0,2,1,1,0,0,1,1,1,0,,,no
291,0,0,0,2,0,0,1,0,0,0,,,yes
292,0,0,1,2,0,0,0,0,0,0,0.0,,no
293,1,0,0,1,0,2,1,0,0,0,,,yes
294,0,0,0,1,0,0,0,0,0,0,,,no
295,0,0,1,0,1,0,2,0,0,0,,,no
296,0,1,0,1,0,0,1,1,0,0,,,yes
297,0,1,0,0,0,1,5,0,0,0,,,no
298,0,0,1,1,0,0,0,0,0,0,,,no
299,0,1,0,1,0,0,2,0,0,0,,,yes
300,0,2,0,0,0,0,1,3,0,0,,,yes
301,0,0,0,2,0,2,4,0,0,0,,,no
302,0,2,0,0,1,0,0,1,0,0,0.0,,yes
303,0,0,1,0,0,0,2,0,0,0,,,no
304,0,3,0,2,0,1,1,0,0,0,,,no
305,0,1,0,1,0,0,1,1,0,0,,,no
306,0,1,1,0,0,0,0,0,1,0,,,no
307,0,0,0,2,0,0,1,0,0,0,,,yes
308,0,0,1,1,0,1,2,0,0,0,,,no
309,0,1,0,1,0,1,1,1,0,0,,,yes
310,0,1,1,1,0,0,1,0,0,0,,,no
311,0,2,0,1,1,0,1,1,0,0,,,yes
312,0,0,0,0,0,0,5,0,0,0,,,no
313,0,0,1,2,1,0,1,0,0,0,,,yes
314,0,1,0,2,0,0,3,0,0,0,,,no
315,0,1,0,0,1,0,0,2,0,0,,,yes
316,1,0,0,2,0,0,2,0,0,0,,,yes
317,0,0,1,1,1,0,0,1,0,0,,,no
318,0,0,0,2,0,0,0,0,0,0,,,no
319,1,1,0,2,0,0,2,2,0,0,,,yes
320,0,0,1,4,0,0,0,0,1,0,,,yes
321,0,2,0,3,0,0,2,0,1,0,,,no
322,0,3,0,0,1,0,0,0,0,0,,,yes
323,0,0,0,2,1,0,1,0,0,0,,,no
324,0,0,1,2,0,0,1,1,0,0,,,no
325,0,1,0,0,0,0,0,0,0,0,,,yes
326,0,1,0,3,0,0,0,0,0,0,,,no
327,1,2,1,1,1,0,2,0,0,0,,,yes
328,0,0,0,2,0,1,0,1,0,0,,,yes
329,1,2,0,2,0,0,1,0,0,0,,,no
330,0,0,0,1,0,0,2,0,0,0,,,no
331,0,3,1,3,0,0,2,0,0,0,,,yes
332,0,0,1,0,0,0,2,0,0,0,0.0,,no
333,0,2,0,1,0,1,3,0,0,0,,,yes
334,1,1,1,2,0,0,0,0,1,0,,,no
335,0,0,0,1,2,1,0,0,0,0,,,yes
336,0,4,0,2,0,0,1,0,0,0,,,yes
337,0,0,1,0,0,0,0,0,0,0,,,no
338,0,1,0,0,0,1,2,0,0,0,,,yes
339,0,0,0,1,0,0,3,2,0,0,,,no
340,0,0,1,2,0,0,2,0,0,0,,,no
341,0,2,0,2,0,0,0,0,0,0,,,yes
342,0,1,1,0,0,0,0,0,0,0,,,no
343,0,1,0,3,0,0,0,0,0,0,,,yes
344,0,0,1,1,0,0,0,0,0,0,,,yes
345,0,0,0,2,0,0,0,1,0,0,,,no
346,0,0,0,1,0,1,1,0,0,0,,,yes
347,0,1,0,1,0,0,2,1,0,0,,,no
348,0,2,0,0,0,0,2,1,0,0,0.0,,no
349,0,0,1,0,0,1,2,0,0,0,,,yes
350,0,1,0,2,0,1,0,1,0,0,,,no
351,0,1,1,2,0,0,2,0,0,0,,,yes
352,0,0,0,2,1,0,0,0,0,0,,,no
353,1,1,0,1,1,0,0,0,0,0,,,yes
354,0,2,1,1,0,1,2,0,0,0,,,no
355,0,0,2,1,0,0,1,0,0,0,,,no
356,0,1,0,1,1,0,1,0,0,0,,,no
357,0,0,1,1,1,0,0,0,1,0,,,yes
358,0,0,0,1,1,0,1,0,0,0,,,yes
359,0,0,0,1,1,1,3,1,0,0,,,no
360,0,0,1,2,0,1,0,0,0,0,,,no
361,0,2,0,1,0,1,0,0,0,0,,,yes
362,0,1,1,0,1,0,0,1,0,0,,,yes
363,0,0,1,3,0,0,2,1,0,0,,,no
364,0,0,1,1,0,1,1,0,0,0,,,yes
365,0,1,1,2,0,0,3,0,0,0,,,no
366,0,0,1,1,1,1,1,0,0,0,,,no
367,0,1,0,1,0,1,0,3,0,0,,,yes
368,0,2,0,1,0,0,1,0,0,0,0.0,,no
369,1,0,0,2,1,0,1,0,0,0,,,yes
370,0,2,1,5,0,1,1,1,0,0,,,no
371,1,0,0,1,0,0,0,1,0,0,,,yes
372,1,3,0,1,0,0,2,0,0,0,,,no
373,0,1,1,2,0,0,1,0,0,0,,,no
374,0,1,0,1,0,0,0,1,0,0,,,yes
375,0,0,0,1,0,0,0,0,0,0,,,no
376,0,2,0,1,1,0,2,0,0,0,,,yes
377,0,0,0,0,1,1,1,0,0,0,,,no
378,0,2,0,0,2,0,0,0,0,0,,,yes
379,0,0,0,2,0,0,0,1,0,0,,,no
380,0,0,0,2,2,2,1,0,0,0,,,no
381,0,1,1,2,0,2,1,0,0,0,,,yes
382,0,1,0,2,0,0,1,0,0,0,,,no
383,0,2,2,1,0,0,1,0,0,0,,,yes
384,0,1,1,1,0,0,1,0,0,0,,,yes
385,0,0,1,2,0,0,0,0,0,0,,,no
386,1,0,0,3,0,0,2,0,0,0,0.0,,no
387,0,4,0,2,0,1,1,0,0,0,,,yes
388,1,0,0,1,0,1,2,0,0,0,,,no
389,0,0,1,1,0,0,0,0,0,0,,,no
390,0,1,0,2,1,0,1,0,1,0,,,yes
391,0,0,1,1,0,2,1,0,0,0,,,no
392,0,0,1,1,0,1,1,0,0,0,,,no
393,0,2,0,3,0,0,1,0,0,0,,,yes
394,0,0,0,1,0,1,0,0,0,0,,,yes
395,0,1,0,0,1,0,2,0,0,0,,,no
396,0,1,0,2,0,1,3,0,2,0,,,yes
397,0,1,0,4,0,1,0,0,2,0,,,no
398,0,0,0,2,0,0,1,0,0,0,,,no
399,0,0,0,1,2,0,0,0,0,0,,,yes
400,0,4,2,4,0,0,4,0,0,0,,,no
401,0,4,0,0,0,2,2,0,0,0,,,yes
402,0,0,1,2,1,1,0,0,0,0,,,no
403,0,2,0,2,1,0,1,0,0,0,,,yes
404,0,1,0,2,0,0,1,1,0,0,,,no
405,0,1,1,0,0,1,0,0,1,0,,,yes
406,0,0,0,1,0,0,1,0,1,0,,,yes
407,0,0,0,1,0,0,2,1,0,0,,,no
408,0,0,0,0,0,0,3,0,0,0,,,yes
409,1,0,0,4,1,1,0,0,0,0,,,no
410,0,0,0,0,0,0,1,0,0,0,,,no
411,0,0,0,1,0,1,0,1,0,0,,,yes
412,0,1,1,0,0,0,0,0,0,0,,,no
413,0,2,0,2,0,0,1,0,0,0,,,yes
414,0,1,1,1,0,1,1,0,0,0,,,yes
415,0,0,0,1,0,1,1,1,0,0,,,no
416,0,0,0,2,1,0,0,0,1,0,,,no
417,0,2,0,0,0,0,0,0,0,0,,,yes
418,0,0,0,2,0,0,1,0,0,0,,,no
419,0,0,1,0,0,0,1,0,0,0,,,yes
420,1,1,0,2,0,0,1,0,0,0,,,no
421,0,2,1,0,1,2,1,0,0,0,,,no
422,0,0,1,1,0,1,2,0,0,0,,,yes
423,0,0,0,0,1,0,0,0,0,0,,,no
424,0,1,0,1,0,1,2,1,0,0,,,yes
425,1,0,0,2,0,0,1,0,0,0,,,no
426,0,1,0,1,0,0,0,0,0,0,,,yes
427,0,1,0,0,0,0,0,0,0,0,,,no
428,0,0,0,0,0,1,0,1,0,0,,,no
429,0,0,0,2,0,0,1,1,0,0,,,no
430,0,1,0,3,0,0,0,2,0,0,,,no
431,0,0,0,0,0,1,3,0,0,0,,,no
432,0,0,0,0,0,0,1,0,0,0,,,no
433,0,3,0,1,1,0,3,1,0,0,,,yes
434,0,1,0,0,0,0,2,1,0,0,,,yes
435,0,0,0,1,1,2,0,0,0,0,,,no
436,0,2,0,0,0,0,1,0,0,0,,,no
437,0,1,0,1,0,0,1,0,0,0,,,yes
438,0,1,0,3,0,0,2,1,0,0,,,yes
439,0,0,1,0,0,2,1,0,0,0,,,no
440,0,1,0,1,0,2,1,0,0,0,,,no
441,0,1,1,1,0,0,0,0,0,0,,,yes
442,0,1,2,2,0,0,0,0,1,0,,,yes
443,0,2,0,2,0,0,0,1,0,0,,,no
444,0,1,1,2,0,0,0,0,2,0,,,no
445,0,1,0,2,1,1,0,0,1,0,,,yes
446,0,1,0,1,0,0,0,0,0,0,,,yes
447,0,1,2,2,0,1,0,0,0,0,,,no
448,0,4,0,2,0,0,0,1,0,0,,,no
449,0,1,2,1,0,0,0,0,0,0,,,yes
450,0,2,0,0,0,0,1,1,0,0,,,yes
451,0,0,0,1,0,1,0,0,0,0,,,no
452,0,0,0,1,0,0,1,0,0,0,,,no
453,0,1,0,1,0,0,1,0,0,0,,,yes
454,0,0,0,1,0,0,0,0,1,0,,,yes
455,0,1,0,1,0,1,1,0,0,0,,,no
456,0,0,0,1,0,1,6,0,0,0,,,yes
457,0,0,0,0,0,0,0,0,0,0,,,no
458,0,2,0,3,1,0,1,0,0,0,,,no
459,0,1,0,2,0,0,1,0,0,0,,,yes
460,0,0,0,1,0,0,1,0,0,0,,,no
461,0,0,0,0,0,0,2,2,0,0,,,yes
462,0,0,0,2,0,0,3,0,0,0,,,yes
463,0,0,0,1,0,0,1,1,0,0,,,no
464,0,1,0,0,0,0,1,0,0,0,,,no
465,0,2,0,3,1,0,1,0,0,0,,,yes
466,0,0,0,2,0,0,0,0,0,0,,,yes
467,0,0,1,1,0,1,0,0,0,0,,,no
468,0,0,0,1,0,0,1,0,0,0,,,yes
469,0,1,1,0,0,0,0,1,0,0,,,no
470,0,0,1,0,0,1,1,0,0,0,,,yes
471,0,2,0,1,0,1,0,2,0,0,,,no
472,0,0,0,0,0,1,1,0,0,0,,,no
473,0,2,0,2,0,0,1,1,0,0,,,yes
474,0,0,1,1,0,0,0,0,0,0,,,no
475,0,1,0,0,1,1,1,1,0,0,,,no
476,0,0,0,2,0,0,0,0,0,0,,,yes
477,1,1,0,1,2,0,2,2,0,0,,,no
478,0,0,0,0,0,0,1,0,0,0,,,yes
479,0,2,1,3,0,1,0,0,0,0,,,no
480,0,0,0,1,1,2,2,0,0,0,,,yes
481,0,1,0,2,2,0,0,1,0,0,,,no
482,0,1,0,0,0,0,1,2,0,0,,,no
483,0,0,1,2,0,0,0,0,1,0,,,yes
484,0,0,2,2,1,0,1,0,1,0,,,no
485,0,0,0,2,1,0,0,1,0,0,,,yes
486,0,0,3,3,1,0,1,1,0,0,,,yes
487,0,2,0,2,2,0,1,0,0,0,,,no
488,0,0,0,1,0,0,0,2,0,0,,,yes
489,0,1,2,0,0,0,0,3,0,0,,,no
490,0,0,0,1,0,0,0,0,0,0,,,yes
491,0,2,0,2,0,0,1,3,0,0,,,no
492,0,0,1,0,1,1,1,1,0,0,,,yes
493,0,3,0,1,0,0,0,1,0,0,,,no
494,0,0,0,2,0,0,1,0,0,0,,,yes
495,0,1,0,1,1,0,1,1,0,0,,,no
496,0,0,1,2,0,0,2,0,1,0,,,yes
