Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
-1,1,1,-2,1,3,8,1,-1,no
-3,5,-11,-8,1,6,1,4,0,no
1,1,-9,0,-1,-1,-4,3,-1,yes
-3,-2,7,1,8,3,6,-1,-1,no
0,-22,12,3,1,4,-9,-8,-1,yes
-4,8,-7,-2,0,3,19,10,1,no
1,7,2,-3,1,1,-3,-3,1,yes
-4,-16,10,-8,-3,0,13,4,1,no
0,-2,7,11,2,-3,11,0,1,no
-1,10,1,-21,0,2,-5,8,-4,no
-3,-7,-5,-6,-1,0,7,0,-1,no
2,6,2,4,-2,0,7,-2,-3,yes
-2,-14,-2,-4,-2,4,-5,0,-1,no
5,-18,2,0,8,7,3,-3,0,yes
1,-1,-1,7,-4,5,-3,11,1,yes
-3,12,-9,3,-3,-6,10,5,1,no
-1,-3,-6,-17,-1,2,4,3,0,no
2,5,7,-10,5,4,3,1,0,yes
0,13,0,1,13,9,11,-4,0,no
2,7,5,-5,7,3,-1,14,2,yes
-3,11,-6,7,1,1,6,-1,0,no
-1,7,-3,10,-2,-2,12,11,-3,yes
-1,-4,1,0,-4,7,8,0,1,no
3,-9,2,-6,2,1,-7,-9,1,yes
1,-4,9,-7,5,-3,0,-8,-1,yes
2,-17,2,-14,2,-1,0,-4,3,yes
3,12,-3,-8,1,4,-5,1,-1,yes
1,7,-12,-5,3,3,18,-1,0,yes
2,3,-4,-10,1,-1,13,-4,-1,yes
0,-7,-1,-4,-4,1,-3,-5,0,no
-5,0,-7,-8,0,5,22,1,5,no
2,-11,-4,8,5,5,3,5,1,yes
-2,8,1,2,3,-1,3,6,1,no
-4,-11,15,-11,-1,6,0,-6,0,no
-2,5,1,-1,6,-6,9,-4,2,no
3,0,-3,13,3,4,-2,-1,1,yes
0,-5,-1,-2,3,7,-4,-7,0,no
0,3,-11,-12,1,-5,-12,6,-1,no
-2,-5,1,17,0,1,2,5,2,no
-1,10,-8,6,1,4,18,0,1,no
4,-7,2,-1,6,2,-2,-7,4,yes
2,-5,4,3,2,-5,2,0,1,yes
-1,5,-6,4,2,3,6,4,-1,no
4,-10,1,6,-3,-7,-12,5,1,yes
-3,-1,-3,4,-2,-1,4,11,3,no
3,6,3,3,0,-5,-3,-5,1,yes
0,-8,5,5,2,3,-12,-3,0,no
0,5,-4,-3,1,0,1,11,-1,yes
-3,3,-8,11,2,-1,10,-11,1,no
1,12,3,0,3,0,-12,-3,-1,no
-1,1,5,-5,5,5,18,4,-1,no
-3,1,-6,7,0,0,-4,3,2,no
6,-5,3,8,-3,12,-4,-1,0,yes
0,-4,-9,7,-2,3,2,1,1,yes
1,-8,5,8,6,3,6,3,-1,yes
4,-1,-7,5,-2,7,3,2,-3,yes
1,9,-4,2,4,7,5,7,-2,no
2,1,-12,5,3,9,7,-2,-2,yes
0,6,-14,-4,-1,4,3,4,-1,yes
-4,-6,3,-4,-7,1,8,0,2,no
0,0,2,3,1,1,6,-1,1,no
2,5,-3,8,-2,4,-1,-6,-1,yes
1,16,3,3,0,-2,-5,-6,0,yes
3,-4,-2,4,-5,7,-17,3,-2,yes
-2,-13,-4,4,5,-1,-6,-4,0,no
0,10,-9,10,3,0,4,5,-5,no
1,12,0,10,-5,3,-4,-1,-2,yes
-1,-4,12,6,5,9,-10,0,-1,no
1,-7,-2,-4,2,-2,1,-3,1,yes
-1,20,-7,9,-4,3,-2,6,-1,no
1,-2,2,-2,1,1,9,4,3,yes
0,-8,-4,-6,4,-8,-6,-6,0,no
0,12,-12,5,0,4,-4,7,-3,no
0,-4,-6,-4,4,3,-2,11,1,yes
0,12,-1,18,1,0,8,-6,0,yes
1,-4,11,-8,5,6,-21,2,2,yes
-1,6,9,-11,4,4,-6,4,2,no
0,-7,-6,4,2,4,3,-7,1,no
-2,13,-7,13,-4,-2,-11,0,0,no
5,10,-2,14,1,-1,-1,6,-1,yes
6,11,5,8,-1,-3,-27,-4,-3,yes
-4,-14,12,9,3,4,-6,-10,2,no
2,7,9,-1,4,6,0,-3,0,yes
0,29,-3,-1,3,7,-6,5,-3,yes
-4,0,-10,8,-4,5,-4,1,0,no
4,-1,7,5,3,-5,-3,-9,1,yes
-2,-3,2,9,5,9,6,1,0,no
2,11,3,4,-2,-6,-7,10,-2,yes
-1,13,0,4,0,6,-3,2,0,no
4,-11,1,14,-1,2,-10,1,-2,yes
0,5,1,-18,2,14,4,-4,0,no
2,-19,12,-13,0,3,-7,-13,2,yes
1,10,-12,11,0,5,-14,7,1,yes
1,7,-1,0,12,5,0,8,0,yes
-2,13,-8,4,5,2,10,-3,0,no
0,-11,4,0,1,1,6,-8,0,no
4,10,7,4,6,4,-17,5,-2,yes
2,4,-1,-15,-6,1,0,-2,0,yes
1,28,-16,0,2,-4,-7,3,1,yes
-6,10,0,5,-4,0,6,1,1,no
-3,-14,2,5,0,-6,1,-6,0,no
-1,-7,2,4,3,-4,15,4,0,no
-1,-1,0,4,6,5,-5,13,1,no
-2,8,-3,1,-1,-1,11,0,-1,no
2,-3,-7,-2,-2,1,4,-8,1,yes
3,2,-4,22,3,1,2,4,2,yes
0,-5,5,3,1,4,-2,-1,-1,yes
-3,9,6,-2,0,3,6,-10,-2,no
-2,-7,-3,4,7,15,-17,0,2,no
2,11,-7,-2,9,5,-6,-5,-1,yes
1,-1,0,13,1,9,6,1,1,yes
-2,-9,-3,-11,1,-2,3,1,1,no
-2,-6,0,-8,1,-1,2,3,-1,no
2,-5,7,0,2,-2,15,1,-3,yes
2,11,0,0,-2,1,-5,2,0,yes
2,13,9,3,3,3,-6,-6,3,yes
0,-4,-10,-11,1,-1,8,5,1,no
1,14,-5,6,10,1,1,1,1,yes
-2,15,-4,2,2,1,2,5,-1,no
1,3,1,13,4,0,-5,2,1,yes
2,-23,-3,-9,1,1,-12,-6,1,yes
0,-5,6,11,-2,5,3,5,0,no
-1,16,0,-2,0,2,16,5,-3,no
-1,5,1,1,-4,2,11,0,0,no
