goal_diff,won,game_ids,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt
3,yes,2020020217,3,8,0,0,-33.400000000000006,-1.0,0.0,20.0,4,-4,5,-381.0
-1,no,2020020218,-1,-17,3,2,-16.700000000000003,-1.0,-1.0,5.400000000000006,-3,6,-5,-1158.0
1,yes,2020020219,1,-3,2,0,25.0,1.0,0.0,7.599999999999994,2,-1,3,176.0
-3,no,2020020220,-3,7,-2,2,-33.3,-1.0,-2.0,-9.400000000000006,1,3,18,1480.0
4,yes,2020020221,4,-16,3,0,50.0,1.0,0.0,-4.200000000000003,-2,3,-3,-1648.0
-2,no,2020020222,-2,8,-2,-2,0.0,0.0,1.0,-14.200000000000003,-8,2,-9,1702.0
2,yes,2020020223,2,-26,8,0,0.0,0.0,0.0,-13.200000000000003,-1,2,4,-3366.0
-2,no,2020020224,-2,5,-6,-4,-13.299999999999997,0.0,2.0,-6.799999999999997,5,0,20,1559.0
2,yes,2020020225,2,-17,-7,0,0.0,0.0,0.0,1.5999999999999943,4,4,-14,-819.0
-1,no,2020020226,-1,-7,-13,10,0.0,0.0,0.0,-11.200000000000003,2,2,-13,-740.0
4,yes,2020020227,4,0,4,-8,0.0,2.0,4.0,-20.799999999999997,-3,0,-8,-1601.0
-1,no,2020020228,-1,-9,-6,-14,0.0,0.0,2.0,-8.799999999999997,10,4,8,-580.0
-1,no,2020020229,-1,0,-2,-4,0.0,0.0,2.0,20.599999999999994,1,2,-5,-138.0
2,yes,2020020230,2,12,1,2,100.0,1.0,-1.0,-27.0,6,-3,9,-992.0
2,yes,2020020231,2,6,-6,-4,25.0,1.0,2.0,4.599999999999994,2,6,10,1904.0
-5,no,2020020232,-5,6,-4,-2,-33.3,-1.0,1.0,-3.5999999999999943,5,4,11,-229.0
1,yes,2020020233,1,0,-10,-2,0.0,0.0,1.0,29.400000000000006,2,0,-1,467.0
-2,no,2020020234,-2,-7,2,4,0.0,0.0,-2.0,-17.0,0,6,6,-1280.0
-1,no,2020020235,-1,-3,17,-2,0.0,0.0,1.0,2.799999999999997,3,1,-30,859.0
-1,no,2020020236,-1,2,-12,0,0.0,0.0,0.0,0.0,5,-4,4,832.0
2,yes,2020020237,2,27,-7,4,0.0,0.0,-2.0,9.400000000000006,5,4,-1,906.0
0,no,2020020238,0,8,-8,2,8.299999999999997,0.0,-1.0,-4.599999999999994,4,9,-4,1623.0
-1,no,2020020239,-1,1,14,0,0.0,0.0,0.0,-3.4000000000000057,-2,5,22,-47.0
-2,no,2020020240,-2,18,0,-2,-50.0,-1.0,1.0,20.799999999999997,0,8,-2,1964.0
-4,no,2020020241,-4,1,2,-6,-75.0,0.0,3.0,-1.7999999999999972,4,0,-3,-1754.0
3,yes,2020020242,3,7,9,4,25.0,0.0,-2.0,23.400000000000006,5,7,-4,1047.0
1,yes,2020020243,1,-6,-3,-4,0.0,0.0,2.0,-11.599999999999994,4,-1,1,164.0
-1,no,2020020244,-1,15,-1,2,0.0,0.0,-1.0,8.0,2,5,3,-1156.0
-2,no,2020020245,-2,-8,-2,0,0.0,0.0,0.0,-7.599999999999994,1,0,-2,189.0
-1,no,2020020246,-1,5,2,2,0.0,0.0,-1.0,11.200000000000003,-2,2,1,1224.0
-1,no,2020020247,-1,7,7,2,50.0,1.0,-1.0,-1.5999999999999943,1,12,-4,1574.0
-1,no,2020020248,-1,21,-1,0,0.0,0.0,0.0,0.0,-1,2,20,-2173.0
-1,no,2020020249,-1,6,3,-4,8.299999999999997,1.0,2.0,22.0,2,1,-5,858.0
0,no,2020020250,0,18,-4,4,-6.700000000000003,-1.0,-2.0,0.0,-3,2,0,1372.0
1,yes,2020020251,1,-5,7,-4,0.0,0.0,2.0,-2.200000000000003,-2,-2,14,263.0
1,yes,2020020252,1,1,3,-2,50.0,1.0,1.0,10.0,5,2,3,2216.0
-3,no,2020020253,-3,-4,-8,0,0.0,0.0,0.0,-4.400000000000006,4,9,10,-391.0
-1,no,2020020254,-1,-1,4,6,-33.3,-2.0,-3.0,-3.0,1,6,-7,389.0
4,yes,2020020255,4,-6,1,2,100.0,2.0,-1.0,14.200000000000003,5,-1,-7,285.0
-2,no,2020020256,-2,10,-2,-2,0.0,0.0,1.0,9.400000000000006,2,1,11,-2294.0
-2,no,2020020257,-2,-15,0,4,0.0,0.0,-2.0,0.0,1,-3,5,-154.0
0,no,2020020258,0,8,-1,0,-50.0,-1.0,0.0,-1.4000000000000057,2,-5,-1,516.0
-1,no,2020020259,-1,4,-1,2,50.0,1.0,-1.0,1.7999999999999972,11,0,7,868.0
4,yes,2020020260,4,1,0,0,33.3,1.0,0.0,10.0,-1,4,-21,-1237.0
