Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,22,8,18,2,9,11,16,4,no
2,20,11,15,10,9,17,8,2,no
3,19,9,34,10,5,23,9,5,yes
1,24,15,23,7,7,26,8,6,no
2,28,9,21,6,6,14,12,2,no
3,20,10,26,3,4,20,16,3,yes
1,31,8,26,7,3,22,9,2,yes
1,31,11,24,6,10,22,6,2,no
5,24,14,26,4,4,9,11,3,yes
3,16,7,22,8,11,12,9,2,no
3,28,12,29,8,10,32,5,2,no
3,26,20,27,5,8,23,6,1,no
2,25,19,25,0,3,15,6,4,no
4,25,15,29,1,3,13,7,3,yes
2,33,13,30,5,11,26,5,4,no
4,28,9,35,5,15,20,11,3,yes
2,22,10,28,4,7,15,11,2,no
3,24,22,20,8,14,16,12,4,yes
1,23,19,32,9,11,28,13,2,no
4,20,20,25,8,19,20,7,5,yes
1,25,21,25,11,3,21,10,4,no
2,29,13,34,5,8,15,9,4,yes
2,28,13,20,10,4,25,12,2,yes
3,21,13,27,7,10,24,12,2,no
1,14,11,25,0,1,15,9,4,no
5,22,9,21,3,4,16,11,4,yes
2,40,7,29,2,2,20,16,2,yes
1,18,10,23,4,12,20,3,2,no
6,36,13,22,8,7,13,11,1,yes
0,17,12,24,14,5,25,10,4,no
2,14,7,20,1,6,26,10,4,no
5,40,10,27,3,10,13,9,1,yes
2,31,7,29,7,6,17,7,4,no
3,25,18,25,11,10,18,10,5,yes
3,32,7,32,6,9,18,12,4,yes
5,28,13,23,8,6,19,11,3,no
5,23,9,28,6,3,21,7,2,no
7,25,17,33,9,4,22,6,4,yes
3,23,6,26,3,3,14,16,3,no
4,20,12,28,2,10,21,8,2,yes
4,29,16,40,4,5,19,10,5,no
5,27,24,25,8,13,20,10,4,yes
3,26,23,17,2,1,17,9,4,yes
0,38,7,30,1,0,23,12,2,no
3,18,12,31,4,16,33,11,6,yes
1,34,11,23,5,14,40,19,3,no
3,15,8,23,10,12,26,6,4,no
